Snapshot Minute,Variant,Accuracy,Macro F1,Log Loss,Wrong Confidence,Selected,Log Loss Improvement vs Base
15,Uncalibrated,0.44,0.4282443455691509,1.3473867699540312,0.4798233350618301,False,0.0
15,Sigmoid,0.51,0.44122037187665003,1.265251890292546,0.46418158802612736,True,0.08213487966148514
15,Isotonic,0.49,0.4292361338127928,2.0498704238786587,0.4929580173771005,False,-0.7024836539246275
30,Uncalibrated,0.51,0.5003950037365218,1.5323499365191924,0.48411860027130066,False,0.0
30,Sigmoid,0.54,0.4684455884455884,1.4135869424158962,0.4914282941314646,True,0.11876299410329616
30,Isotonic,0.53,0.4756175783691326,3.9002662366479064,0.4918867661420918,False,-2.367916300128714
45,Uncalibrated,0.57,0.5725637546533069,2.4270158143347276,0.5843545924658496,False,0.0
45,Sigmoid,0.57,0.43033256880733944,1.5898268399864164,0.48798101676121286,True,0.8371889743483112
45,Isotonic,0.57,0.5435658209125043,3.8612349748267225,0.4908089185247284,False,-1.434219160491995
60,Uncalibrated,0.66,0.6522273168212493,2.2152670648113375,0.6300674382800935,False,0.0
60,Sigmoid,0.63,0.6137615129386841,1.8346608307688714,0.6058546913479024,True,0.3806062340424661
60,Isotonic,0.65,0.6301587301587301,7.5672326577731015,0.6174951801569895,False,-5.351965592961764
75,Uncalibrated,0.74,0.7234703355393011,2.9046283850915295,0.6617402763468831,False,0.0
75,Sigmoid,0.73,0.7119047619047619,2.0801115864887065,0.6464795028537061,True,0.824516798602823
75,Isotonic,0.73,0.7137846430299261,11.782266617842295,0.6440149286362413,False,-8.877638232750765
85,Uncalibrated,0.79,0.779764559102683,3.154086626071178,0.7404974852557891,False,0.0
85,Sigmoid,0.79,0.779764559102683,2.229836516860141,0.7550666486521105,True,0.9242501092110369
85,Isotonic,0.78,0.764069264069264,11.274586225660318,0.7491517379998353,False,-8.12049959958914
